date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:54:33	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2019:54:33%20GMT	http://www.w3schools.com/js/default.asp	C:/Users/javie/Desktop/JS/JS/www.w3schools.com/js/default.0.delayed	(from )
20:54:33	340391/340391	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:28:38%20GMT	https://www.w3schools.com:443/js/default.asp	C:/Users/javie/Desktop/JS/JS/www.w3schools.com_443/js/default.html	(from )
20:54:33	166/166	---M-Z	200	added ('OK')	text/plain	etag:%2209ab1c89623da1:0%22	https://www.w3schools.com:443/robots.txt		(from )
20:54:33	6369/6369	---M--	200	added ('OK')	image/png	etag:%2209ab1c89623da1:0%22	https://www.w3schools.com/images/w3schools_logo_436_2.png	C:/Users/javie/Desktop/JS/JS/www.w3schools.com/images/w3schools_logo_436_2.png	(from https://www.w3schools.com:443/js/default.asp)
20:54:34	3065/3065	---M--	200	added ('OK')	image/png	etag:%2209ab1c89623da1:0%22	https://www.w3schools.com:443/apple-touch-icon.png	C:/Users/javie/Desktop/JS/JS/www.w3schools.com_443/apple-touch-icon.png	(from https://www.w3schools.com:443/js/default.asp)
20:54:34	1408/1408	---M--	200	added ('OK')	image/png	etag:%2209ab1c89623da1:0%22	https://www.w3schools.com:443/favicon-32x32.png	C:/Users/javie/Desktop/JS/JS/www.w3schools.com_443/favicon-32x32.png	(from https://www.w3schools.com:443/js/default.asp)
20:54:34	912/912	---M--	200	added ('OK')	image/png	etag:%2209ab1c89623da1:0%22	https://www.w3schools.com:443/favicon-16x16.png	C:/Users/javie/Desktop/JS/JS/www.w3schools.com_443/favicon-16x16.png	(from https://www.w3schools.com:443/js/default.asp)
20:54:35	33950/33950	---M-Z	200	added ('OK')	text/css	etag:%2209ab1c89623da1:0+gzip%22	https://www.w3schools.com:443/lib/topnav/main.css?v=1.0.28	C:/Users/javie/Desktop/JS/JS/www.w3schools.com_443/lib/topnav/main0ca8.css	(from https://www.w3schools.com:443/js/default.asp)
20:54:35	69168/69168	---M-Z	200	added ('OK')	text/css	etag:%2209ab1c89623da1:0+gzip%22	https://www.w3schools.com:443/lib/w3schools32.css?v=1.0.1	C:/Users/javie/Desktop/JS/JS/www.w3schools.com_443/lib/w3schools32f700.css	(from https://www.w3schools.com:443/js/default.asp)
20:54:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2030%20Nov%202023%2019:54:36%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/javie/Desktop/JS/JS/www.googletagmanager.com/gtm.85445.delayed	(from https://www.w3schools.com:443/js/default.asp)
